
Found 659 roles matching your search:

 Name                                              Description
 colstrom.php                                      PHP is a popular general-purpose scripting language that is popular in web development.
 colybri.php                                       Deploy for install or configure any php version for Nginx or Apache interface on Ubuntu distro
 conn.php5-fpm                                     configures php5-fpm
 conn.php7-fpm                                     configures php7-fpm
 cowops.debian-php-apache                          Install Apache 2 PHP module for debian system
 cowops.debian-php-extensions                      Install PHP extensions for debian system
 cowops.debian-php-fpm                             Install PHP 7 FPM for debian system
 cowops.debian-php-hhvm                            Install Php-hhvm for debian system
 cowops.debian-php-maxmind-geoip                   Install Php-maxmind-geoip for debian system
 cowops.debian-php-newrelic                        Install Php-newrelic for debian system
 cowops.debian-php-phalcon                         Install Php-phalcon for debian system
 cowops.debian-php-xdebug                          Install Php-xdebug for debian system
 cowops.debian-php-zmq                             Install Php-zmq for debian system
 creidinger.php                                    Install PHP packages for Debian/Ubuntu
 creidinger.phpmyadmin                             phpmyadmin for Debian/Ubuntu
 criecm.php-fpm                                    php-fpm server and webapps
 cristiroma.php5                                   production-ready mod_php configuration (with httpd prefork)
 csuka.php_fpm                                     Ansible role to setup and configure PHP-FPM
 dagman62.apache_php                               Apache PHP install from source
 daixijun.php                                      Install php from source code
 daixijun.php_mcrypt                               PHP mcrypt扩展
 daixijun.php_redis                                PHP redis扩展
 daixijun.php_ssh2                                 PHP ssh2扩展
 daixijun.php_yaf                                  PHP yaf扩展
 Dalee.install-php56                               PHP 5.6 and Composer
 Dalee.install-php7                                PHP 7.1, Composer and XDebug
 Dalee.install_php72                               PHP 7.2, Composer and XDebug
 damianlewis.apache_php_fpm                        Configures Apache to support PHP-FPM
 damko.php5-fpm-debian                             Install and configure PHP5-FPM on Debian system
 darexsu.php                                       install and configure php 7.x, php 8.x.
 darthwade.php-pear                                PHP PEAR
 darthwade.php-pecl                                PHP PECL
 datadog-galaxy.php                                PHP provision role
 datadog-galaxy.php70                              PHP 7.0 provision role
 dav1d8.php                                        An Ansible role for installing PHP.
 davidalger.php_cachetool                          Installs CacheTool for PHP allowing you to work with `apc`, `opcache`, etc the file status cache through the CLI.
 davidalger.php_fpm                                PHP-FPM from IUS RPMs on RHEL / CentOS Linux
 dblencowe.nginx-php7                              Install a basic Nginx / PHP7 setup
 DevikaBaburaj.php_phpbins                         PHP demo role
 devopsstore.php                                   PHP (5.4, 5.5, 5.6, 7.0, 7.1) using repositories (base, ius, webtatic, remi)
 devopsvp.php                                      your description
 devsoul.phpcodesniffer                            Install PHP Code Sniffer on your Linux machine
 devsoul.phpcov                                    Install PHPCOV on your Linux machine
 devsoul.phpcpd                                    Install PHP Copy/Paste Detector (CPD) on your Linux machine
 devsoul.phpcsfixer                                Install PHP Coding Standards Fixer on your Linux machine
 devsoul.phpdevtools                               Install phpdevtools on your Linux machine
 devsoul.phploc                                    Install PHPLOC on your Linux machine
 devsoul.phpmd                                     Install PHP Mess Detector on your Linux machine
 devsoul.phpmetrics                                Install PhpMetrics on your Linux machine
 devsoul.phpstan                                   Install PHPStan on your Linux machine
 devsoul.phpunit                                   Install PHPUnit on your Linux machine
 dictcp.php-elasticache                            ansible role for AWS Elasticache PHP extension
 dincho.php-fpm                                    Ansible role for installing and configuring php-fpm
 dlcoder.php                                       Ansible role for installing and configure php and php packages.
 dmitrybelyakov.localcloud-php                     This role will install latest stable php release with a configurable list of modules, expose important settings and manage your fpm pool set up. Use this to quickly install and manage your php deployment in a reliable way.
 dzangolab.docker_phpmyadmin                       Install phpmyadmin as a docker container
 e1mo.php                                          PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 ecgalaxy.php                                      Installs the PHP language, CLI and extensions
 egeneralov.ansible_php_7_2                        Provision php 7.2 for debian 9
 paulthed.php-paul                                 PHP for RedHat/CentOS/Debian/Ubuntu.
 ElaoInfra.php                                     A PHP role for elao symfony standard vagrant box
 ElaoInfra.phpmyadmin                              Install and config phpMyAdmin via composer
 ElaoInfra.phppgadmin                              Install and config phpPgAdmin via composer
 ElaoInfra.phpredisadmin                           Install and config phpRedisAdmin via composer
 elnebuloso.php56                                  PHP 5.6 for Linux Server
 elnebuloso.php7                                   PHP 7 for Linux Server
 emielmolenaar.ansible_role_php_repo_sury          An Ansible role to add Ondřej Surý's PHP repository to Debian-based hosts
 entercloudsuite.ansible_php                       Playbook for php-fpm.
 eRadical.php_fpm_exporter                         PHP-FPM exporter for Prometheus
 erasme.php5-fpm                                   php5-fpm role
 ericmdev.php56-mysql                              PHP 5.6 MySQL support for RedHat/CentOS 6.x
 eriksencosta.php-dev                              A set of playbook roles to install multiple versions of PHP, using php-build and phpenv.
 esperdyne.php                                     PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 evogalaxy.php-fpm                                 Installation and basic configuration of php-fpm.
 EWS-Network.phpRole                               Small role for PHP
 exequielrafaela.newrelic-php5-agent               Installs and configure newrelic
 f500.php                                          Install latest PHP version in DotDeb repository
 f500.php7                                         Install PHP version 7.X from deb.sury.org
 f500.php7_cli                                     Install latest PHP cli version in DotDeb repository
 f500.php7_dev                                     Install latest PHP (development package) version in DotDeb repository
 f500.php7_fpm                                     Install latest PHP fpm version in DotDeb repository
 f500.php8                                         Install PHP version 8.X from deb.sury.org
 f500.php_cli                                      Install latest PHP cli version in DotDeb repository
 f500.php_composer                                 Install Composer, the dependency manager for PHP
 f500.php_dev                                      Install latest PHP (development package) version in DotDeb repository
 f500.php_extensions                               Install PHP extensions
 f500.php_fpm                                      Install latest PHP fpm version in DotDeb repository
 f500.php_memcached                                Install memcached extension for PHP (from pear)
 f500.php_pear                                     Install pear
 f500.php_xdebug                                   Install xdebug extension for PHP
 f500.php_yaml                                     Install yaml extension PHP (from pear)
 fabiorphp.ansible_role_consul                     An ansible role to install and configure Consul agent.
 FabriZZio.newrelic-php                            New Relic PHP agent
 ffornari90.ansible_role_phpmyadmin                your role description
 fiaasco.php7                                      PHP 7 Ansible role
 firehed.php                                       Install and configure PHP
 fprg.php                                          php ansible role for ansible galaxy
 frogasia.ansible-role-php                         PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 FrogyYen.centos7-php7                             Installs epel-release php7 on CentOS 7
 galal-hussein.nr-php5                             Install and configure newrelic agent for php5
 gano2018.ansible_cakephp3                         create cakephp3 new project
 gano2018.ansible_cakephp3_environments            cakephp_enviroments settings
 gano2018.ansible_phpmyadmin                       insall phpmyadmin and setting
 gcoop-libre.apache-php-fpm                        Configure php-fpm for Apache in Debian 9 servers
 geerlingguy.apache-php-fpm                        Apache 2.4+ PHP-FPM support for Linux.
 geerlingguy.php                                   PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 geerlingguy.php-memcached                         PHP Memcached support for Linux
 geerlingguy.phpmyadmin                            phpMyAdmin installation for Linux
 geerlingguy.php-mysql                             PHP MySQL support for Linux.
 geerlingguy.php-pear                              PHP PEAR library installation.
 geerlingguy.php-pecl                              PHP PECL extension installation.
 geerlingguy.php-pgsql                             PHP PostgreSQL support for Linux.
 geerlingguy.php-redis                             PhpRedis support for Linux
 geerlingguy.php-tideways                          Tideways PHP Profiler Extension for Linux
 geerlingguy.php-versions                          Allows different PHP versions to be installed.
 geerlingguy.php-xdebug                            PHP XDebug for Linux
 geerlingguy.php-xhprof                            PHP XHProf for Linux
 genzouw.php56                                     Scrit to setup php5.6.
 ggiinnoo.php                                      Configure php
 goldstrike77.ansible_role_linux_phpfpm            your description
 GSquad934.phpmyadmin                              Install and configure PHPMyAdmin
 guisea.ansible-role-phpmyadmin                    phpMyAdmin installation for Linux
 gurkalov.php_fpm                                  Install php7.2-fpm
 gwenlei.phpmyadmin                                install phpmyadmin
 gwenlei.wordpress-php7                            install php7.0 for wordpress
 gzeel.php                                         PHP for Debian/Ubuntu.
 gzeel.php_mysql                                   PHP MySQL support for Linux.
 HanXHX.jenkins-php                                Jenkins-PHP for Debian
 HanXHX.php                                        Install and configure PHP 7.x/8.x
 HauptJ.php-fpm                                    Installs PHP-FPM 7.1
 henriklynggaard.phpstorm                          Installs PhpStorm and plugins
 heremias.php                                      PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 heremias.php_mysql                                PHP MySQL support for Linux.
 heremias.php_versions                             Allows different PHP versions to be installed.
 hitotito.php                                      role to install, configure and manage PHP
 honomoa.php5                                      PHP is a popular general-purpose scripting language that is especially suited to web development.
 honomoa.php5_pecl                                 PECL is a repository for PHP Extensions, providing a directory of all known extensions and hosting facilities for downloading and development of PHP extensions.
 hostclick.php-fpm                                 Ansible php-fpm role
 hudecof.phpmyadmin                                install phpMyAdmin from sources
 hxpro.phpfpm                                      Install and configure php-fpm from remi repository. Tested on CentOS 7 and CentOS 8.
 hyperfocus1337.ansible_php_fpm_role               phpfpm
 iaroslavb.apache-modphp                           PHP module for Apache Webserver
 iaroslavb.php-fpm                                 PHP FPM installation on Ubuntu Linux
 icopp-ansible.php5                                Install the latest version of PHP 5 via Homebrew.
 idealista.php_role                                PHP role
 idealista.php-role                                PHP role
 ansible-roles.php_fpm                             Install and Configure PHP-FPM (php5, php7.0)
 ansible-roles.php_pecl                            Install PECL extensions for PHP via pecl or apt
 iilness2.ans_php5_6                               This is for setup initial Ubuntu Server
 iilness2.ans_php7_2_fpm                           This is for setup initial Ubuntu Server
 juwai.php                                         PHP for RedHat/CentOS/Debian/Ubuntu.
 infn-bari-school.phpmyadmin                       Install and configure phpmyadmin
 infOpen.php                                       Ansible role to install and configure php
 infOpen.php-apcu                                  Manage PHP APCu caching
 infOpen.php-fpm                                   Ansible role to manage PHP-FPM installation and configuration
 initlabopen.php-fpm-pools                         Role for configuration php-fpm pools for Debain/Ubuntu/Centos
 injectedMonkey.php-fpm                            php-fpm role for personal use.
 inmotionhosting.php_fpm                           Modular Ansible Role for deploying and configuring PHP-FPM
 inofix.php-fpm                                    Install the FastCGI Process Manager
 inofix.shariff-php                                Install the Shariff PHP Backend
 iroquoisorg.php7                                  role for php7
 iroquoisorg.php_fpm                               role for php fpm
 Jberlinsky.newrelic-php                           New Relic PHP agent
 Jberlinsky.php-fpm                                Ansible role for installing and configuring php-fpm
 jcdarwin.php                                      An Ansible role that installs and configures php on Ubuntu.
 jcid.ansible-role-server-php-fpm                  JCID 'server-php-fpm' role.
 jcid.ansible-role-server-php-imagick-source       JCID 'server-php-imagick-source' role.
 jcid.ansible-role-server-php-twig                 JCID 'server-php-twig' role.
 jebovic.php                                       Install and configure php-fpm for lamp and lemp stack, add your own pools configurations, and customize all the php.ini config from yaml variables, also included: composer, newrelic apm, blackfire apm
 jeffwidman.php-fpm-pool                           Helper role for creating/managing separate php-fpm pools for Centminmod installs
 osxstrap.osx-php                                  Installs PHP and Composer on OSX, manages global composer packages.
 jgeusebroek.php                                   Install and configures PHP
 jhu-sheridan-libraries.php                        PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 jibsan94.ansible_php                              PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 jibsan94.ansible_phpmyadmin                       PhpMyAdmin installation for Linux
 jkanclerz.deploy-project-php                      An Ansible for deploy php project.
 jkanclerz.deploy-project-php-symfony              An Ansible for deploy symfony2 project.
 jmcvetta.php5-xdebug                              Enable XDebug debuggger for PHP 5
 joewen85.ansible_docker_phpfpm                    docker php7.4.33
 johanmeiring.ansible_php5_newrelic                Installs New Relic PHP agent
 josemrb.phpenv                                    Role to install custom versions of PHP using phpenv and php-build.
 josephpconley.nginx                               Official Ansible role for NGINX
 jtyr.php                                          Role which installs and configures PHP and PHP extensions.
 jtyr.php_fpm                                      Role which installs the Bacula Director
 juwai.php-memcached                               Install memcached extension with igbinary support
