
Found 659 roles matching your search:

 Name                                              Description
 reallyryansmith.php_webserver                     your description
 renkeju.ansible_role_php_mysql                    PHP MySQL support for Linux.
 revagomes.php-pecl                                PHP PECL extension installation.
 revagomes.phpsh                                   A read-eval-print-loop for php http://www.phpsh.org/.
 riaf.php5                                         This role installs and configures the php5.
 robertdebock.php                                  Install and configure php on your system.
 robertdebock.php_fpm                              The purpose of this role is to install and configure php_fpm on your system.
 robertdebock.phpmyadmin                           Install and configure phpmyadmin on your system.
 RobertoSolis.php                                  PHP for RedHat/CentOS/Debian/Ubuntu.
 RobertoSolis.php-mysql                            PHP MySQL support for RedHat/CentOS and Debian/Ubuntu
 superlumic.superlumic-php                         Ansible role to install PHP on OSX. This role is part of the Superlumic project that aims to simplify repeat computer setups on OSX, 10.10 and up.
 rooty.phpmyadmin                                  phpMyAdmin installation for Linux
 s2ansible.php                                     install php
 s2ansible.phpbuild                                setup php-build
 s2ansible.phpfpm                                  setup phpfpm
 salandur.php                                      Manages PHP
 salandur.php-apache                               Manages PHP configuration on Apache
 samloh84.php                                      PHP
 sansible.newrelic_agent_php                       Installs New Relic PHP Agent
 sansible.newrelic_integration_php                 PHP NewRelic Integration
 sansible.php                                      PHP and FPM installation
 sansible.prometheus_phpfpm_exporter               Install Prometheus PHP FPM Exporter.
 woodruff28.php                                    ansible role for installing php
 ShadowKoBolt.php5-common                          Installs PHP5
 shakahl.ansible-phpmyadmin                        Installs phpMyAdmin
 shifteoops.apache_php_fpm_role                    apache-php-fpm for Ubuntu.
 shifteoops.php_role                               PHP for Ubuntu.
 shomatan.php-fpm                                  Installs and configures PHP FastCGI Process Manager.
 shomatan.phpmyadmin                               Configures SELinux
 softasap.sa-dev-phpstorm                          installs Oracle Java 6-7-8 + PHPSTORM  on ubuntu based box
 softasap.sa_php_apache                            standalone role for php installation in apache module mode
 softasap.sa-php-container                         Experimental alpine 3.3 based php 5 fpm container
 softasap.sa-php-fpm                               Standalone role for PHP-FPM installation in fastcgi mode
 softasap.sa-php-hhvm                              installs facebook's hhvm on ubuntu
 softasap.sa-php-pharables                         helper role for global php pchar installations
 solutionDrive.ansible-role-phpbrew                Role to install phpbrew on mac os
 spitfast.php-fpm                                  Install php-fpm and php extensions.
 stevenharradine.php                               PHP is a popular general-purpose scripting language that is popular in web development.
 stuvusIT.php-fpm                                  Ansible php-fpm role
 SuperNami.php-fpm                                 phpfpm
 supertarto.php                                    Install and configure PHP, for Debian, with Ansible
 supsy.phpfpm                                      Installation for phpfpm
 swcc.ansible_simplesamlphp                        Install and configure SimpleSAMLphp
 swcc.php-fpm                                      Ansible role for installing and configuring php-fpm
 T2L.php                                           Install PHP.
 telus.php                                         PHP is a popular general-purpose scripting language that is popular in web development.
 telus.php7                                        PHP 7 is the latest version of general-purpose scripting language that is popular in web development.
 Temelio.php_fpm                                   Ansible role to manage PHP-FPM installation and configuration
 terbolous.php-fpm                                 Yet another php-fpm role for Ansible
 thecarlhall.php5-fpm                              Ansible role for installing php5-fpm including php-apc and other helpful bits
 themaniskshah.ansible_role_docker_php             This ansible role install common packages On Ubuntu, CentOS Amazon-Linux.
 thom8.ansible-role-php                            PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 thom8.php-upload-progress                         PHP Upload progress for Linux.
 thomaslorentsen.ansible_php7_fpm                  your description
 beetboxvm.beetbox-cakephp                         CakePHP project role for beetbox.
 thorian93.php                                     PHP Management
 tigr1991.php71                                    your description
 tkzy984.php56                                     install PHP 5.6
 tkzy984.php70                                     your description
 tobiasehlert.ansible_role_php                     PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 tovletoglou.php                                   PHP (5.4, 5.5, 5.6, 7.0, 7.1) using repositories (base, ius, webtatic, remi)
 travis-south.app-php                              Undescribable
 trombik.php                                       Manage php
 trombik.php_fpm                                   Install PHP and php-fpm
 TroodoNmike.php7-from-source                      PHP7 from source. Optional php7-fpm, opcache
 tschifftner.php5-fpm                              Installs and configures php5-fpm on Debian/Ubuntu linux servers.
 tschifftner.php7_fpm                              Installs and configures php7-fpm on Debian/Ubuntu linux servers.
 tschifftner.phpmyadmin                            Installs and configures phpmyadmin on Debian/Ubuntu linux servers.
 tschifftner.phpstorm                              Installs jetbrains phpstorm on Debian/Ubuntu linux servers.
 Turgon37.php                                      This role install and configure PHP
 TvL2386.php7-newrelic                             Installs New Relic PHP agent
 TypistTech.trellis-newrelic-php                   Install New Relic PHP agent on Trellis servers
 crocofdev.php-scl                                 An Ansible role to install PHP 5.5 from the Software Collections Library.
 unixslayer.phpmetrics                             PhpMetrics, static analysis for PHP
 unleashedtech.newrelic_php                        Installs the New Relic PHP agent
 vahubert.php                                      PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 vaizard.mage_php                                  PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 vbotka.freebsd_php                                FreeBSD. Install and configure PHP.
 viasite-ansible.php                               PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 viasite-ansible.php-versions                      Allows different PHP versions to be installed.
 viasite-ansible.php-xdebug                        PHP XDebug for Linux
 viniciusfs.php                                    Installs PHP 7 from remi repositories on CentOS 7
 virhi.php                                         php for Debian/Ubuntu.
 wosg-virtualenv.php                               PHP for Debian/Ubuntu.
 wosg-virtualenv.php-memcached                     PHP Memcached support for Linux
 wosg-virtualenv.php-mysql                         PHP MySQL support for Debian/Ubuntu
 wosg-virtualenv.php-pecl                          PHP PECL extension installation.
 wosg-virtualenv.php-xdebug                        PHP XDebug for Linux
 wosg-virtualenv.php-xhprof                        PHP XHProf for Linux
 visdmin.ansible_new_relic_php_agent               New relic php agent management for CentOS 7
 visualcpu.el-php7                                 Ansible role to install and configure php7 on Enterprise Linux from webtatic repo
 vivaserver.phpmyadmin                             Installs PHPMyAdmin on a sensible LAMP stack
 vkill.php7-phalcon                                php7-phalcon
 vonq.php56                                        PHP 5.6 YUM/PPA
 votum.php                                         PHP for RedHat/CentOS/Debian/Ubuntu.
 voycey.cakephp-ansible                            Deploy LEMP (PHP 7) on Ubuntu 16.04
 vvgelder.ansible-role-php                         PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 wahidsadik.ansible-role-php                       An Ansible role to install PHP and integration with Apache2 (or nginx TBD)
 weareinteractive.php5                             Installs and configures php5
 weareinteractive.php5_newrelic                    Installs New Relic PHP agent
 weareinteractive.php5_redis                       Installs and configures PHP Redis
 webarchitect609.php_versions                      Allows different PHP versions to be installed.
 webbylab.php                                      Ansible role for PHP environment(Composer) setup on ubuntu server
 WebbyLab.php                                      Ansible role for PHP environment(Composer) setup on ubuntu server
 webofmars.magephp                                 Install Magallanes/magephp on linux system with php already installed
 webofmars.phpunit                                 Ansible role to install phpunit on Debian.
 webstandardcss.phpunit                            A phpunit role dependent on geerlingguy.composer
 weldpua2008.php                                   Ansible Role PHP
 wroxbox.phpredis                                  phpredis to be used with Redis server.
 wtanaka.apache_mod_php                            Install Apache, PHP and mod_php
 wtanaka.newrelic_php                              Install Newrelic PHP agent
 wtanaka.php52_fpm                                 Install php52-fpm
 wtanaka.php56_fpm                                 Install php56-fpm
 xcezx.php                                         install and configuration php
 paulchubatyy.php                                  Deploy php-cli and php-fpm to your servers
 xylodev.php                                       PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 Yannik.php                                        This role allows you to install php 5.6 and/or php 7.0 on ubuntu trusty and debian jessie.
 Yannik.php-fpm                                    This role allows you to to configure php-fpm pools for both PHP 5.6 and 7.0 on the same system.
 YasushiKobayashi.newrelic-php                     https://github.com/YasushiKobayashi/
 yauh.jenkins-php                                  Ansible role to set up Jenkins for PHP
 yfix.php                                          PHP for RedHat/CentOS/Debian/Ubuntu.
 yfix.php-mysql                                    PHP MySQL support for RedHat/CentOS and Debian/Ubuntu
 yfix.php-pecl                                     PHP PECL extension installation.
 yfix.php-xdebug                                   PHP XDebug for Linux
 yfix.php-xhprof                                   PHP XHProf for Linux
 youyo.php                                         install php
 youyo.phpbuild                                    setup php-build
 youyo.phpfpm                                      setup phpfpm
 ysz.phpbrew                                       Installs phpbrew
 zengshing.ansible_role_php                        your description
 zwischenloesung.ansible-php-fpm                   Install the FastCGI Process Manager
 zxcvbnius.ubuntu-php                              Quick and easy php installer
 onelove-roles.freebsd_php                         PHP installation for FreeBSD
 draxalene.apache_php                              draxalene role for ansible to deploy Apache and PHP - FPM (by hopla.cloud)
 webarch-coop.php                                  Ansible role for installing and configuring PHP on Debian Bullseye and Buster
 msltwtf.php                                       Install a specific php version and extentions.
 geoffreyvanwyk.php                                Installs, configures and extends the PHP programming language on Ubuntu servers. Multiple versions of PHP can be installed simultaneously on the same server.
 robertdebock.php_unsupported                      Install an unsupported version of php on your system.
 aacnp.php                                         Install and configure php on your system.
 adityaprakash_bobby.ansible_role_php              Ansible role for installing PHP 7.0
 afef0409.my_web_apache_php_ansible_role           your role description
 aryanraj750.apache_php_webserver                  Conifgure linux system as webserver
 bingo_soft.php_versions                           Allows different PHP versions to be installed.
 blesson01.ansible_role_apache_php_mysql_user_web  Installing php7.3,mariadb,apache2
 call_learning.php                                 PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 chriscroome.php                                   Ansible role for installing and configuring PHP on Debian Bookworm, Bullseye and Buster
 chriscroome.phpmyadmin                            Ansible role for installing and upgrading phpMyAdmin on Debian
 cyberitas.php72_ius                               Ansible role for installing php 72 on RHEL/CentOs
 cyberitas.php72_remi                              Ansible role for installing php 72 on RHEL/CentOs
 cyberitas.php73_remi                              Ansible role for installing php 7.3 on RHEL/CentOs from the Remi repository
 cyberitas.php74_remi                              Ansible role for installing php 7.4 on RHEL/CentOs from the Remi repository
 cyberitas.php80_remi                              Ansible role for installing php 8.0 on RHEL/CentOs from the Remi repository
 devikababuraj.php_phpbins                         PHP demo role
 dragonbe.php_fpm                                  A quick setup to run a remote PHP-FPM instance
 entanet_devops.ansible_role_php                   PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 entanet_devops.php                                Common PHP role
 entanet_devops.php_7_3_ppa                        PHP 7.3 ppa
 gengxiankun.phpmyadmin                            Deploy the phpmyadmin service running under the container via ansible.
 gnagano.ansible_cakephp3                          create cakephp3 new project
 gnagano.ansible_cakephp3_auto_settings            setup cakephp3 project
 gnagano.ansible_cakephp3_environments             cakephp_enviroments settings
 gnagano.ansible_php_imagick                       install imagick for PHP
 gnagano.ansible_phpmyadmin                        insall phpmyadmin and setting
 hoplacloud.apache_php                             Hopla.cloud role for ansible to deploy Apache and PHP (FPM)
 hoplacloud.nginx_php                              Hopla.cloud role for ansible to deploy Nginx and PHP (FPM)
 irmoobear.php7                                    Compile PHP7 from source.
 irmoobear.php_memcached                           Compile memcached extension for php 7.
 irmoobear.php_redis                               Compile redis extension for php.
 julien_langlois.php                               php installation and customization of php-fpm
 kornkalle.ansible_php74_fpm                       Ansible Role for Installing php 7.4 fpm
 leslie1sme.ansible_php70_role                     php installation for Linux(Ubuntu).
 methorz.php                                       Ansible PHP role for Debian (incl. Sury repository and multiple pool support)
 mrdatamapper.akademiano_php                       base role for php with phpbrew
 myrostadler.centos7_php                           Install PHP
 myrostadler.centos7_php_docker                    Install a PHP dockerised network in an apache wrapper
 myrostadler.centos7_php_website                   Install a PHP website from a git repo on Centos7
 nkakouros.ansible_php_dns                         Ansible role to install and configure PHP-DNS
 oscaner.php_webserver                             PHP WebServer
 postka.ansible_role_php                           Role for deploying PHP server and support packages for MySQL and FPM.
 respheal.php_fpm                                  Modular Ansible Role for deploying and configuring PHP-FPM
 shifteo_ops.apache_php_fpm_role                   apache-php-fpm for Ubuntu.
 shifteo_ops.php_role                              PHP for Ubuntu.
 siaoming.php_server                               Deploy apache httpd service with PHP enabled
 stacktonic.ansible_role_php_versions              Allows different PHP versions to be installed.
 sys_fs.php_fpm                                    This role installs php-fpm from sury.org on Debian and Ubuntu.
 tpboyle.php                                       Installs and secures a PHP server.
 ubzyhd.php                                        Ansible role to install PHP + PHP-FPM as well as any web counterparts
 udelarinterior.configure_php_ini                  Ansible role to configure php.ini files on Debian servers
 Vaizard.mage_php                                  PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 vandcarlos.php_aml2                               Task for install php on Amazon Linux 2
 vineeth_pgmr.phphello                             your description
 zewaren.ansible_role_freebsd_php_fpm              An ansible role to install and configure PHP-FPM on FreeBSD
 shaneholloman.phps                                Allows different PHP versions to be installed.
 xolyu.php                                         PHP installation and configuration
 bagaswh.php                                       PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 shaneholloman.php                                 PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 RanithRam.apache_wp_php_install                   
 LemonJelle.php                                    Installs PHP on a system.
 LemonJelle.php-mysql                              Installs PHP-MySQL on a system.
 aldodenhartog03.php                               installs php
 aldodenhartog03.php-mysql                         installs php-mysql
 inofix.ansible-php-fpm                            Install the FastCGI Process Manager
 JeriJaflaum2.php                                  php
 JeriJaflaum2.php_mysql                            php_Mysql
 thystips.php_fpm_exporter                         Install php-fpm prometheus exporter
 JelleBrouwer02.php                                your role description
 JelleBrouwer02.php-mysql                          your role description
 webdimension-develop.php                          your role description
 DucksLock.apache_php                              Installeert Apache en PHP op een webserver.
 BVossebelt.apache_php                             Installs apache, php, php-mysql and tries to start the apache server
 S1186041.apache_php_mysql                         roles van week 4
 farisc0de.php                                     PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 zee-tek.ansible-role-zee_php                      your role description
 zee-tek.zee-php                                   your role description
 KevinSchottert.php                                Installeert en configureert PHP op Ubuntu
 KevinSchottert.php_mysql                          Installeert en configureert php_mysql op Ubuntu
 secnigma.php-versions-cohabitat                   Allows different PHP versions to be installed, without purging others.
 softasap.sa_php_fpm                               Standalone role for PHP-FPM installation in fastcgi mode
 boutetnico.php                                    Install and configure PHP.
 vihuhool.php-versions                             Allows different PHP versions to be installed.
 mina-amin.php_nginx_mariadb                       Install and configure Laravel application with Nginx, PHP, and MariaDB.
 oxess.php_ioncube                                 Ansible role for installing and configuring ionCube Loader for PHP. Supports PHP 7.1, 7.2, 7.4, 8.1, 8.2, 8.3, 8.4 (PHP 8.0 is NOT supported by ionCube). Integrates with geerlingguy.php role.

 punktde.php                                       php role for Proserver
 clouddrove.docker-php-node-exporter               This ansible role is used to install Redis server into Docker.
 hamidyousefi.php                                  An Ansible role for setting up a basic PHP environment on Debian systems.
